# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    7.252252252    0.000394166    0.000409179    0.000651028
    7.267267267    0.000396625    0.000412708    0.000600431
    7.282282282    0.000399737    0.000417007    0.000563868
    7.297297297    0.000403582    0.000422171    0.000537231
    7.312312312    0.000408255    0.000428315    0.000517779
    7.327327327    0.000413869    0.000435576    0.000503648
    7.342342342    0.000420559    0.000444117    0.000493550
    7.357357357    0.000428491    0.000454139    0.000486573
    7.372372372    0.000437866    0.000465885    0.000482064
    7.387387387    0.000448931    0.000479652    0.000479544
    7.402402402    0.000461993    0.000495811    0.000478663
    7.417417417    0.000477436    0.000514823    0.000479156
    7.432432432    0.000495746    0.000537273    0.000480824
    7.447447447    0.000517541    0.000563906    0.000483517
    7.462462462    0.000543623    0.000595683    0.000487120
    7.477477477    0.000575040    0.000633860    0.000491545
    7.492492492    0.000613183    0.000680106    0.000496728
    7.507507508    0.000659929    0.000736662    0.000502619
    7.522522523    0.000717848    0.000806596    0.000509184
    7.537537538    0.000790526    0.000894181    0.000516399
    7.552552553    0.000883061    0.001005481    0.000524251
    7.567567568    0.001002851    0.001149275    0.000532734
    7.582582583    0.001160846    0.001338532    0.000541849
    7.597597598    0.001373536    0.001592751    0.000551605
    7.612612613    0.001666020    0.001941583    0.000562017
    7.627627628    0.002076173    0.002429826    0.000573106
    7.642642643    0.002657904    0.003121673    0.000584897
    7.657657658    0.003473006    0.004092774    0.000597426
    7.672672673    0.004537068    0.005371545    0.000610730
    7.687687688    0.005667297    0.006767413    0.000624857
    7.702702703    0.006361377    0.007712235    0.000639861
    7.717717718    0.006180469    0.007643982    0.000655805
    7.732732733    0.005286136    0.006647144    0.000672760
    7.747747748    0.004176493    0.005285546    0.000690810
    7.762762763    0.003206994    0.004045635    0.000710049
    7.777777778    0.002479461    0.003099556    0.000730586
    7.792792793    0.001962730    0.002423981    0.000752548
    7.807807808    0.001598793    0.001947635    0.000776079
    7.822822823    0.001339756    0.001608494    0.000801346
    7.837837838    0.001152374    0.001362874    0.000828545
    7.852852853    0.001014667    0.001181779    0.000857902
    7.867867868    0.000912194    0.001046149    0.000889684
